Input,Filtered
-1359.0,71.095
-854.0,-2.571
-854.0,-76.238
-747.0,-148.0
-747.0,-219.762
-427.0,-268.048
-36.0,-290.19
-36.0,-301.143
538.0,-284.762
538.0,-289.429
1010.0,-271.619
964.0,-262.571
964.0,-247.476
608.0,-249.333
608.0,-243.762
500.0,-243.333
-858.0,-298.286
-858.0,-288.952
812.0,-200.095
558.0,-79.048
-417.0,-4.429
-417.0,40.429
-1905.0,-9.619
-1905.0,-59.667
-1829.0,-111.19
-1215.0,-133.476
-1215.0,-171.0
-984.0,-216.143
-984.0,-261.286
-485.0,-310.0
-485.0,-358.714
607.0,-377.905
1778.0,-339.143
1778.0,-300.381
1412.0,-262.095
1412.0,-223.809
697.0,-214.428
-12.0,-174.143
-12.0,-133.857
-1363.0,-237.429
-1363.0,-328.905
-1963.0,-402.524
-1670.0,-462.19
-1670.0,-451.0
-1341.0,-424.143
-1341.0,-400.905
-489.0,-366.333
1215.0,-250.619
1215.0,-145.905
1997.0,-3.952
1986.0,113.714
1736.0,219.476
1736.0,273.238
548.0,214.667
548.0,156.095
-327.0,73.286
-1395.0,-60.381
-1395.0,-160.0
-1997.0,-254.524
-1997.0,-349.048
-1892.0,-374.238
-1170.0,-365.048
-1170.0,-327.286
285.0,-234.19
285.0,-141.095
1930.0,14.667
1919.0,169.905
1919.0,284.571
749.0,262.381
749.0,240.19
-426.0,124.81
-1336.0,-33.381
-1336.0,-179.667
-1982.0,-356.714
-1982.0,-477.19
-1943.0,-595.81
-1050.0,-630.238
-1050.0,-613.81
787.0,-509.905
787.0,-377.333
1997.0,-187.143
1791.0,-11.762
1868.0,132.905
1868.0,277.571
623.0,293.667
-350.0,263.429
-350.0,154.857
-1305.0,1.333
-1305.0,-152.19
-1980.0,-282.143
-1970.0,-411.619
-1970.0,-485.143
-981.0,-468.238
-981.0,-451.333
714.0,-322.952
1997.0,-133.476
1997.0,54.143
1885.0,193.905
1885.0,333.667
539.0,321.857
-377.0,266.429
-377.0,153.381
-1251.0,8.524
-1251.0,-140.0
-1951.0,-321.857
-1883.0,-441.19
-1883.0,-514.19
-783.0,-534.81
-783.0,-509.952
836.0,-408.0
1997.0,-218.619
1997.0,-29.714
1728.0,146.381
1728.0,275.381
1810.0,408.286
663.0,405.857
-264.0,298.19
-264.0,190.524
-967.0,54.714
-967.0,-81.095
-1478.0,-177.143
-1729.0,-241.524
-1729.0,-305.905
-1230.0,-304.905
-1230.0,-303.905
-127.0,-217.048
1305.0,-65.238
1305.0,86.571
1929.0,215.714
1929.0,344.857
1004.0,352.857
-80.0,253.952
-80.0,155.048
-498.0,49.048
-498.0,-56.952
-884.0,-185.238
-1222.0,-275.0
-1222.0,-320.619
-1393.0,-374.381
-1393.0,-394.667
-746.0,-384.143
426.0,-293.476
426.0,-190.857
1416.0,-41.095
1416.0,84.905
1288.0,204.81
562.0,237.619
1156.0,230.524
1156.0,223.429
1153.0,186.476
438.0,115.476
438.0,88.524
182.0,101.0
182.0,113.476
131.0,143.429
-419.0,147.19
-419.0,169.333
-1100.0,175.143
-1100.0,180.952
-1101.0,194.857
-1101.0,208.762
-1024.0,195.524
-782.0,138.0
-782.0,80.476
-231.0,2.048
-231.0,-76.381
384.0,-119.429
986.0,-99.238
986.0,-107.333
915.0,-118.81
915.0,-130.143
398.0,-132.048
169.0,-144.857
169.0,-145.476
-20.0,-155.095
-20.0,-162.286
-553.0,-168.667
-1034.0,-197.952
292.0,-131.667
292.0,-65.381
1.0,-12.905
1.0,39.571
-586.0,60.429
-1130.0,43.857
-1130.0,27.286
-1106.0,-14.381
-1106.0,-56.048
-1194.0,-131.19
-977.0,-224.667
-977.0,-318.143
-555.0,-388.143
-555.0,-458.143
78.0,-473.381
922.0,-437.524
922.0,-401.667
1350.0,-336.429
1350.0,-271.19
924.0,-200.857
326.0,-136.095
326.0,-134.476
63.0,-145.381
63.0,-142.429
19.0,-141.571
-429.0,-134.095
-429.0,-100.714
-1268.0,-107.286
-1268.0,-115.0
-1119.0,-115.619
-999.0,-106.333
-999.0,-107.381
69.0,-57.571
-329.0,-46.81
-329.0,-36.048
-778.0,-76.81
-915.0,-164.286
-915.0,-251.762
-810.0,-354.619
-810.0,-457.476
-833.0,-541.143
-560.0,-583.333
-560.0,-625.524
-260.0,-640.905
-260.0,-656.286
-32.0,-658.714
335.0,-622.333
335.0,-585.953
863.0,-484.476
863.0,-383.0
821.0,-290.619
475.0,-220.428
475.0,-150.238
206.0,-143.714
206.0,-118.238
120.0,-96.857
64.0,-56.762
64.0,-10.143
-430.0,12.952
-430.0,31.048
-895.0,27.0
-784.0,29.333
-784.0,18.667
-656.0,14.095
-136.0,20.0
-136.0,25.905
-579.0,-0.143
-816.0,-54.952
-816.0,-109.762
-638.0,-181.238
-638.0,-252.714
-455.0,-313.476
-212.0,-346.19
-212.0,-378.905
103.0,-383.81
103.0,-388.714
763.0,-358.095
856.0,-320.381
856.0,-282.667
349.0,-245.571
349.0,-208.476
-29.0,-167.238
